id,title,description,thumbnailUrl,iframeUrl,controls,highlights,originalUrl,category
6c82ded251754899bace3d781d03d607,Princess Rescue Fruit Connect,Begin a fruity puzzle adventure. Princess Rescue Fruit Connect is a delightful match puzzle game where your mission is to rescue a beautiful princess by matching fruits and solving tricky levels. Connect two identical fruits to eliminate them. But notice clearing the board before time runs out. All while progressing to rescue the princess.,https://img.gamedistribution.com/6c82ded251754899bace3d781d03d607-200x120.jpg,https://html5.gamedistribution.com/6c82ded251754899bace3d781d03d607/,"Mouse click or tap to play
","['在这款刺激的Adventure游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/6c82ded251754899bace3d781d03d607/,Adventure
a35537b1106c4f4db08aa279b50d4f26,Ship Parking Game,Solve colorful passenger seating puzzles on ships in this unique traffic jam puzzle game. Help passengers find their seats based on color patterns while managing the flow of people through parking lot-style challenges. It's not just about parking - you're a traffic director managing passenger jams on the high seas.,https://img.gamedistribution.com/a35537b1106c4f4db08aa279b50d4f26-200x120.jpg,https://html5.gamedistribution.com/a35537b1106c4f4db08aa279b50d4f26/,Tap to move passengers to their color-matched seats on ships. Guide people through the parking area while avoiding traffic jams. Clear each level by getting all passengers to their correct colored seats efficiently.,"['在这款刺激的Puzzle游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/a35537b1106c4f4db08aa279b50d4f26/,Puzzle
b9bde9f7b60f44b6832384a50000dc72,Timewalker,"Time Walker: Survive – Embark on a thrilling journey through apocalyptic landscapes in this fast-paced 2D top-down survival game! As a Timewalker, battle relentless hordes of zombies across different eras, fighting for survival against increasingly intense waves of the undead.",https://img.gamedistribution.com/b9bde9f7b60f44b6832384a50000dc72-200x120.jpg,https://html5.gamedistribution.com/b9bde9f7b60f44b6832384a50000dc72/,"WASD = move
Move mouse = aim
Left-click = shoot
R = reload
Space = slow-mo","['在这款刺激的Shooter游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/b9bde9f7b60f44b6832384a50000dc72/,Shooter
bcbd1517d72f430a81c903116126cbfd,Archer Go,"Endless arrows, endless fun! Get ready for a thrilling endless game that will put your archery skills to the test. Travel through a fantastic landscape with your bow, aiming at targets along the way. Keep playing, earn points and unlock exciting customization options.
",https://img.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd-200x120.jpg,https://html5.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd/,"The game features simple and intuitive controls: tap, hold and release to shoot arrows. Your goal is to aim precisely and hit the target. As you play, you can unlock and customize different skins for your archer and targets. Keep shooting, challenge yourself and set new high scores!
","['在这款刺激的Casual游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/bcbd1517d72f430a81c903116126cbfd/,Casual
844af8aeeed242dda25645a09013ac8f,Ellie And Friends Art Bloom Aesthetic,"Ellie And Friends Art Bloom Aesthetic is all about exploring creativity through unique fashion and art! Dress them up in colorful outfits, mix and match funky accessories, and dive into the world of artistic expression. From painting and drawing to choosing the perfect look, this game lets you celebrate individuality and artistic flair with Ellie and her friends. Get ready to unleash your inner artist!",https://img.gamedistribution.com/844af8aeeed242dda25645a09013ac8f-200x120.jpg,https://html5.gamedistribution.com/844af8aeeed242dda25645a09013ac8f/,Left Mouse button click or Tap to play,"['在这款刺激的Dress-up游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/844af8aeeed242dda25645a09013ac8f/,Dress-up
2a19100d0eae469e8e61d8ee7697cb6c,Kingdom match,"Kingdom match is a competitive match-3 game with castle decoration options! Complete levels, compete with other players and build the best castle!",https://img.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c-200x120.jpg,https://html5.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c/,Collect objects of the same color in a row and complete tasks in the levels! Complete as many levels as possible to get ahead of other players!,"['在这款刺激的Match-3游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/2a19100d0eae469e8e61d8ee7697cb6c/,Match-3
698157ec8128471e91e2f32e4bc350ee,Catch The Goose,"Catch The Goose is a puzzle elimination mini-game. Players can tap identical items to automatically send them to the bottom slot - when three matching items gather, they get eliminated. When players successfully clear all items arranged in the grid, they get to ""catch"" a mischievous goose. Its addictive simplicity, stress-relieving design, and playful art style have made it a cultural phenomenon.",https://img.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee-200x120.jpg,https://html5.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee/,"1. Tap three identical items to eliminate them.
​2. Complete all eliminations to capture the goose.
​3. Use power-ups (e.g., Add Slot or Shuffle) for tricky levels.","['在这款刺激的Match-3游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/698157ec8128471e91e2f32e4bc350ee/,Match-3
fa525c7020fb4e848fb3b18a850fb773,Diamond mosaic,Ready to create your own masterpiece from a scattering of diamonds on your screen? Come to our mosaic!  Fill images with diamond scatter!,https://img.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773-200x120.jpg,https://html5.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773/,"Instructions:

1. Choose a picture that you like
2. With a pen, apply diamonds to the canvas, matching them to the desired numbers. Get shiny, brilliant images.

Controls:

On PC: click with the left mouse button
On mobile device: tap on the game elements on the touch screen.","['在这款刺激的Art游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/fa525c7020fb4e848fb3b18a850fb773/,Art
9ff20769f2ba48a895d377bd3b1cdbd0,Deep in the Lab - Chapter 1,"Deep in the Lab is 2D '90 style survival horror game, with old style pre-rendered backgrounds, puzzles to solve, keys to collect, monster to avoid or defeat (your choice), poor resources, jumpscares, limited saves, FMV and a five floors lab to explore.",https://img.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0-200x120.jpg,https://html5.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0/,"AD Move left and right
P : Open/Close Menu
M : Open Map
ESC: Options Menu / Skip Video
E: Interact / Use / Open Door
CTRL: Draw / Undraw Weapon
Left Click: Attack/Shoot
Right Click: Roll ","['在这款刺激的Adventure游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/9ff20769f2ba48a895d377bd3b1cdbd0/,Adventure
597826c7d8aa45bfba877cc4c05a4d5c,Flight Sim Air Traffic control,"Flight Sim is a game where you have to guide aircraft to their landing zones, keep the skies safe to complete the levels to get high score.",https://img.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c-200x120.jpeg,https://html5.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c/,"How To Play:
Guide planes and helicopters in to runway by drawing the paths
Don’t crash and complete the level to get high score","['在这款刺激的Puzzle游戏中挑战自己', '简单直观的控制方式', '逐渐增加难度的游戏玩法']",https://html5.gamedistribution.com/597826c7d8aa45bfba877cc4c05a4d5c/,Puzzle
